COTE;SURFACE;VOLUME
139.47;1.16;15232.88
139.48;1.17;15351.92
139.49;1.18;15470.96
139.5;1.19;15590
139.51;1.19;15709.04
139.52;1.2;15828.08
139.53;1.21;15947.12
139.54;1.22;16066.16
139.55;1.22;16185.2
139.56;1.23;16304.24
139.57;1.24;16423.28
139.58;1.25;16542.32
139.59;1.25;16661.36
139.6;1.26;16780.4
139.61;1.27;16899.44
139.62;1.27;17018.48
139.63;1.28;17137.52
139.64;1.29;17256.56
139.65;1.3;17375.6
139.66;1.3;17494.64
139.67;1.31;17613.68
139.68;1.32;17732.72
139.69;1.33;17851.76
139.7;1.33;17970.8
139.71;1.34;18089.84
139.72;1.35;18208.88
139.73;1.36;18327.92
139.74;1.36;18446.96
139.75;1.37;18566
139.76;1.38;18685.04
139.77;1.39;18804.08
139.78;1.39;18923.12
139.79;1.4;19042.16
139.8;1.41;19161.2
139.81;1.41;19280.24
139.82;1.42;19399.28
139.83;1.43;19518.32
139.84;1.44;19637.36
139.85;1.44;19756.4
139.86;1.45;19875.44
139.87;1.46;19994.48
139.88;1.47;20113.52
139.89;1.47;20232.56
139.9;1.48;20351.6
139.91;1.49;20470.64
139.92;1.5;20589.68
139.93;1.5;20708.72
139.94;1.51;20827.76
139.95;1.52;20946.8
139.96;1.53;21065.84
139.97;1.53;21184.88
139.98;1.54;21303.92
139.99;1.55;21422.96
140;1.55;21542
140.01;1.57;21755.96
140.02;1.58;21969.92
140.03;1.59;22183.88
140.04;1.6;22397.84
140.05;1.61;22611.8
140.06;1.62;22825.76
140.07;1.64;23039.72
140.08;1.65;23253.68
140.09;1.66;23467.64
140.1;1.67;23681.6
140.11;1.68;23895.56
140.12;1.69;24109.52
140.13;1.71;24323.48
140.14;1.72;24537.44
140.15;1.73;24751.4
140.16;1.74;24965.36
140.17;1.75;25179.32
140.18;1.76;25393.28
140.19;1.77;25607.24
140.2;1.79;25821.2
140.21;1.8;26035.16
140.22;1.81;26249.12
140.23;1.82;26463.08
140.24;1.83;26677.04
140.25;1.84;26891
140.26;1.86;27104.96
140.27;1.87;27318.92
140.28;1.88;27532.88
140.29;1.89;27746.84
140.3;1.9;27960.8
140.31;1.91;28174.76
140.32;1.93;28388.72
140.33;1.94;28602.68
140.34;1.95;28816.64
140.35;1.96;29030.6
140.36;1.97;29244.56
140.37;1.98;29458.52
140.38;1.99;29672.48
140.39;2.01;29886.44
140.4;2.02;30100.4
140.41;2.03;30314.36
140.42;2.04;30528.32
140.43;2.05;30742.28
140.44;2.06;30956.24
140.45;2.08;31170.2
140.46;2.09;31384.16
140.47;2.1;31598.12
140.48;2.11;31812.08
140.49;2.12;32026.04
140.5;2.13;32240
140.51;2.15;32453.96
140.52;2.16;32667.92
140.53;2.17;32881.88
140.54;2.18;33095.84
140.55;2.19;33309.8
140.56;2.2;33523.76
140.57;2.21;33737.72
140.58;2.23;33951.68
140.59;2.24;34165.64
140.6;2.25;34379.6
140.61;2.26;34593.56
140.62;2.27;34807.52
140.63;2.28;35021.48
140.64;2.3;35235.44
140.65;2.31;35449.4
140.66;2.32;35663.36
140.67;2.33;35877.32
140.68;2.34;36091.28
140.69;2.35;36305.24
140.7;2.37;36519.2
140.71;2.38;36733.16
140.72;2.39;36947.12
140.73;2.4;37161.08
140.74;2.41;37375.04
140.75;2.42;37589
140.76;2.43;37802.96
140.77;2.45;38016.92
140.78;2.46;38230.88
140.79;2.47;38444.84
140.8;2.48;38658.8
140.81;2.49;38872.76
140.82;2.5;39086.72
140.83;2.52;39300.68
140.84;2.53;39514.64
140.85;2.54;39728.6
140.86;2.55;39942.56
140.87;2.56;40156.52
140.88;2.57;40370.48
140.89;2.59;40584.44
140.9;2.6;40798.4
140.91;2.61;41012.36
140.92;2.62;41226.32
140.93;2.63;41440.28
140.94;2.64;41654.24
140.95;2.65;41868.2
140.96;2.67;42082.16
140.97;2.68;42296.12
140.98;2.69;42510.08
140.99;2.7;42724.04
141;2.71;42938
141.01;2.72;43258.91
141.02;2.73;43579.82
141.03;2.74;43900.73
141.04;2.75;44221.64
141.05;2.76;44542.55
141.06;2.77;44863.46
141.07;2.78;45184.37
141.08;2.79;45505.28
141.09;2.8;45826.19
141.1;2.81;46147.1
141.11;2.82;46468.01
141.12;2.83;46788.92
141.13;2.84;47109.83
141.14;2.85;47430.74
141.15;2.86;47751.65
141.16;2.87;48072.56
141.17;2.88;48393.47
141.18;2.89;48714.38
141.19;2.9;49035.29
141.2;2.91;49356.2
141.21;2.92;49677.11
141.22;2.93;49998.02
141.23;2.94;50318.93
141.24;2.95;50639.84
141.25;2.96;50960.75
141.26;2.97;51281.66
141.27;2.98;51602.57
141.28;2.99;51923.48
141.29;3;52244.39
141.3;3.01;52565.3
141.31;3.02;52886.21
141.32;3.03;53207.12
141.33;3.04;53528.03
141.34;3.05;53848.94
141.35;3.06;54169.85
141.36;3.07;54490.76
141.37;3.08;54811.67
141.38;3.09;55132.58
141.39;3.1;55453.49
141.4;3.11;55774.4
141.41;3.12;56095.31
141.42;3.13;56416.22
141.43;3.14;56737.13
141.44;3.15;57058.04
141.45;3.16;57378.95
141.46;3.16;57699.86
141.47;3.17;58020.77
141.48;3.18;58341.68
141.49;3.19;58662.59
141.5;3.2;58983.5
141.51;3.21;59304.41
141.52;3.22;59625.32
141.53;3.23;59946.23
141.54;3.24;60267.14
141.55;3.25;60588.05
141.56;3.26;60908.96
141.57;3.27;61229.87
141.58;3.28;61550.78
141.59;3.29;61871.69
141.6;3.3;62192.6
141.61;3.31;62513.51
141.62;3.32;62834.42
141.63;3.33;63155.33
141.64;3.34;63476.24
141.65;3.35;63797.15
141.66;3.36;64118.06
141.67;3.37;64438.97
141.68;3.38;64759.88
141.69;3.39;65080.79
141.7;3.4;65401.7
141.71;3.41;65722.61
141.72;3.42;66043.52
141.73;3.43;66364.43
141.74;3.44;66685.34
141.75;3.45;67006.25
141.76;3.46;67327.16
141.77;3.47;67648.07
141.78;3.48;67968.98
141.79;3.49;68289.89
141.8;3.5;68610.8
141.81;3.51;68931.71
141.82;3.52;69252.62
141.83;3.53;69573.53
141.84;3.54;69894.44
141.85;3.55;70215.35
141.86;3.56;70536.26
141.87;3.57;70857.17
141.88;3.58;71178.08
141.89;3.59;71498.99
141.9;3.6;71819.9
141.91;3.61;72140.81
141.92;3.62;72461.72
141.93;3.63;72782.63
141.94;3.64;73103.54
141.95;3.65;73424.45
141.96;3.66;73745.36
141.97;3.67;74066.27
141.98;3.68;74387.18
141.99;3.69;74708.09
142;3.7;75029
142.01;3.71;75484.2
142.02;3.73;75939.4
142.03;3.75;76394.6
142.04;3.76;76849.8
